hasCreator,isAuthorCreator,CreatorTool,Producer,hasWarning,TaggedPDF,hasTitle,hasKeywords,hasSubject,hasDescription,Linearized,PDFVersion,HasXFA,hasXMPToolkit,ModificationTZ,CreationYear,ModificationYear,CreateDate,ModifyDate,PageCount,FileSize,LenFileName,Label
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.6,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2011,2011,2011-04-14 13:34:25-04:00,2011-04-14 13:34:25-04:00,25.0,128.0,14,Benign
False,False,Unknown,Other,False,False,True,False,False,False,False,1.3,False,False,UTC\-04:00,2011,2011,2011-04-13 13:43:25-04:00,2011-04-13 13:43:25-04:00,8.0,178.0,32,Benign
False,True,Acrobat PDFMaker 9.1,Acrobat Distiller 9.4.0,False,True,True,False,False,False,True,1.5,False,True,UTC\-04:00,2011,2011,2011-04-13 14:29:09-04:00,2011-04-13 14:29:54-04:00,9.0,38.0,13,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.6,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2011,2011,2011-04-14 13:33:00-04:00,2011-04-14 13:33:00-04:00,6.0,73.0,26,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2011,2011,2011-04-13 16:52:02-04:00,2011-04-14 13:29:11-04:00,13.0,41.0,25,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-26 14:46:10-04:00,2004-05-26 14:46:10-04:00,23.0,45.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-27 07:34:09-04:00,2004-05-27 07:34:09-04:00,6.0,13.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-27 13:13:41-04:00,2004-05-27 13:13:41-04:00,6.0,17.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0,False,False,True,False,False,False,True,1.3,False,False,UTC\-04:00,2004,2004,2004-05-25 09:23:24-04:00,2004-05-25 09:23:24-04:00,9.0,45.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-24 14:37:44-04:00,2004-05-24 14:37:44-04:00,14.0,28.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-27 13:17:16-04:00,2004-05-27 13:17:16-04:00,24.0,45.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-24 14:16:45-04:00,2004-05-24 14:16:45-04:00,6.0,15.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-05-24 14:07:55-04:00,2004-05-24 14:07:55-04:00,13.0,41.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-07-14 08:19:28-04:00,2004-07-14 08:19:28-04:00,16.0,57.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-07-14 08:10:18-04:00,2004-07-14 08:10:18-04:00,7.0,18.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-07-12 12:42:01-04:00,2004-07-12 12:42:01-04:00,9.0,49.0,11,Benign
False,True,Unknown,Acrobat Distiller 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-15 10:04:16+00:00,2002-04-29 11:59:39-04:00,8.0,25.0,7,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-07-21 14:04:51-04:00,2004-07-21 14:04:51-04:00,6.0,26.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-07-21 14:12:57-04:00,2004-07-21 14:12:57-04:00,24.0,45.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-07-21 14:29:57-04:00,2004-07-21 14:29:57-04:00,5.0,25.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-10-05 08:43:39-04:00,2004-10-05 08:43:39-04:00,5.0,21.0,11,Benign
False,True,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.3,False,False,UTC\-04:00,2005,2005,2005-04-21 07:19:02-04:00,2005-04-21 07:19:02-04:00,4.0,93.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-04:00,2004,2004,2004-10-05 10:09:08-04:00,2004-10-05 10:09:08-04:00,7.0,31.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-03-29 09:30:42+00:00,2002-04-29 12:52:46-04:00,7.0,23.0,18,Benign
False,False,Unknown,Acrobat PDFWriter 5.0,False,False,True,False,False,False,False,1.2,False,False,Unknown,2005,Unknown,2005-01-28 13:33:34,,10.0,31.0,9,Benign
False,False,Unknown,Acrobat PDFWriter 5.0,False,False,True,False,False,False,False,1.2,False,False,Unknown,2005,Unknown,2005-01-28 13:31:07,,33.0,145.0,11,Benign
False,True,Other,Acrobat Distiller 6.0.1,False,False,True,False,False,False,True,1.4,False,True,UTC\-05:00,2005,2005,2005-12-19 08:23:35-05:00,2005-12-19 08:23:35-05:00,32.0,193.0,12,Benign
False,True,Unknown,Other,False,True,True,False,False,False,True,1.6,False,True,UTC\-05:00,2006,2007,2006-02-10 08:26:45-05:00,2007-01-30 14:55:27-05:00,5.0,34.0,17,Benign
False,True,Unknown,Acrobat Distiller 5.0,False,True,True,False,False,False,True,1.2,False,False,UTC\-05:00,2005,2005,2005-01-26 06:52:15-05:00,2005-01-26 06:57:19-05:00,7.0,120.0,12,Benign
False,True,Other,Acrobat Distiller 5.0,False,False,True,False,False,False,True,1.3,False,True,UTC\-04:00,2006,2006,2006-07-12 11:18:11-04:00,2006-07-13 09:53:55-04:00,27.0,272.0,12,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-05:00,2005,2005,2005-01-11 08:49:59-05:00,2005-01-11 08:49:59-05:00,6.0,16.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-05:00,2005,2005,2005-01-11 08:45:43-05:00,2005-01-11 08:45:43-05:00,2.0,11.0,11,Benign
False,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.2,False,False,UTC\-05:00,2005,2005,2005-01-11 09:05:21-05:00,2005-01-11 09:05:21-05:00,10.0,23.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-03-29 14:32:39+00:00,2002-04-29 12:52:47-04:00,3.0,20.0,16,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2005,2005,2005-03-07 08:17:05+00:00,2005-03-07 08:17:44-05:00,6.0,25.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2005,2005,2005-05-02 14:59:16+00:00,2005-05-02 15:00:11-04:00,24.0,70.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2005,2005,2005-05-02 15:03:14+00:00,2005-05-02 15:03:33-04:00,7.0,24.0,11,Benign
False,True,Unknown,Other,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,Unknown,2002,,2002-04-29 12:52:47-04:00,9.0,47.0,12,Benign
False,False,Other,Other,False,False,True,False,False,False,False,1.5,False,True,UTC\-04:00,2005,2006,2005-05-25 14:23:45+00:00,2006-05-09 12:18:25-04:00,1.0,274.0,15,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2005,2005,2005-06-15 15:28:11+00:00,2005-06-15 15:29:06-04:00,5.0,19.0,11,Benign
False,True,Unknown,Acrobat Distiller 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-15 11:10:22+00:00,2002-04-29 11:59:41-04:00,1.0,11.0,7,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2005,2005,2005-12-27 09:35:13+00:00,2005-12-27 09:35:47-05:00,7.0,25.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2005,2005,2005-12-27 09:53:18+00:00,2005-12-27 09:53:40-05:00,7.0,25.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2005,2005,2005-12-27 09:56:46+00:00,2005-12-27 09:57:08-05:00,23.0,81.0,11,Benign
False,True,Unknown,Other,True,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-03-29 22:23:00+00:00,2002-04-29 12:52:48-04:00,5.0,109.0,15,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-03-30 13:04:25+00:00,2002-04-29 12:52:48-04:00,5.0,16.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-03-30 13:03:43+00:00,2002-04-29 12:52:48-04:00,14.0,45.0,11,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2008,2008,2008-06-26 16:05:48-04:00,2008-07-01 15:57:03-04:00,1.0,11.0,17,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2008,2008,2008-06-26 16:07:29-04:00,2008-07-01 15:58:48-04:00,2.0,11.0,17,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.1.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2008,2008,2008-06-26 16:09:00-04:00,2008-07-01 15:59:24-04:00,1.0,11.0,17,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2006,2006,2006-08-23 07:30:44-04:00,2006-08-28 11:26:59-04:00,12.0,109.0,11,Benign
False,True,Other,Other,False,True,True,False,False,False,True,1.3,False,True,UTC\-05:00,2006,2007,2006-02-02 13:51:23-08:00,2007-01-30 14:55:27-05:00,10.0,192.0,13,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2006,2006,2006-03-02 09:30:53+00:00,2006-03-02 09:31:08-05:00,14.0,32.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2006,2006,2006-03-02 09:28:35+00:00,2006-03-02 09:29:19-05:00,4.0,18.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2006,2006,2006-04-26 09:25:28+00:00,2006-04-26 09:26:33-04:00,4.0,19.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2006,2006,2006-04-25 13:56:25+00:00,2006-04-25 13:56:58-04:00,4.0,17.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2006,2006,2006-04-25 14:58:51+00:00,2006-04-25 14:59:15-04:00,9.0,34.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2006,2006,2006-06-01 15:57:31+00:00,2006-06-01 15:58:00-04:00,7.0,27.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2006,2006,2006-08-01 15:53:18+00:00,2006-08-01 15:54:07-04:00,15.0,50.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2006,2006,2006-08-01 16:13:54+00:00,2006-08-01 16:15:03-04:00,6.0,22.0,11,Benign
True,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,False,False,False,False,False,False,True,1.4,False,True,UTC\-04:00,2008,2008,2008-05-28 09:52:11-04:00,2008-05-28 09:52:50-04:00,11.0,53.0,11,Benign
False,False,Other,Acrobat PDFWriter 5.0,True,False,True,False,True,True,False,1.4,False,True,UTC\-05:00,2006,2006,2006-11-02 07:24:12+00:00,2006-11-03 09:13:53-05:00,8.0,29.0,11,Benign
False,False,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,True,1.4,False,False,UTC\-05:00,2006,2006,2006-11-09 09:55:53-05:00,2006-11-09 09:56:28-05:00,9.0,35.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2006,2006,2006-11-09 09:28:53+00:00,2006-11-09 09:29:13-05:00,6.0,23.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2006,2006,2006-11-29 11:38:35+00:00,2006-11-29 11:39:18-05:00,8.0,30.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-15 15:47:57+00:00,2002-04-29 11:59:43-04:00,4.0,20.0,7,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:22:56+00:00,2002-04-29 12:52:50-04:00,3.0,15.0,18,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-03-29 14:05:00-04:00,2010-03-29 14:05:00-04:00,1.0,17.0,13,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-03-29 14:11:25-04:00,2010-03-29 14:11:25-04:00,1.0,16.0,13,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-03-29 14:13:10-04:00,2010-03-29 14:13:10-04:00,1.0,14.0,13,Benign
False,False,Adobe InDesign CS4,Adobe PDF Library 9.0,False,False,False,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-10-13 14:58:03-04:00,2010-10-13 14:58:13-04:00,1.0,247.0,19,Benign
False,True,Acrobat PDFMaker 6.0,Acrobat Distiller 6.0.1,False,True,True,False,False,False,True,1.6,False,True,UTC\-05:00,2006,2007,2006-01-31 19:39:55-08:00,2007-01-30 14:55:28-05:00,2.0,19.0,13,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-05:00,2007,2007,2007-01-26 10:14:03+00:00,2007-01-26 10:14:12-05:00,6.0,25.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,True,1.4,False,False,UTC\-04:00,2007,2007,2007-04-27 12:22:18+00:00,2007-04-27 12:27:06-04:00,7.0,28.0,11,Benign
True,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,False,False,False,False,False,False,False,1.6,False,True,UTC\-04:00,2007,2007,2007-04-27 12:29:57-04:00,2007-04-27 12:30:03-04:00,8.0,44.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 5.0,False,False,False,False,False,False,False,1.4,False,False,UTC\-04:00,2007,2007,2007-05-02 07:06:41+00:00,2007-05-02 07:08:00-04:00,18.0,66.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-17 07:49:56+00:00,2002-04-29 11:59:44-04:00,2.0,16.0,7,Benign
False,False,Other,Other,False,False,True,False,False,False,False,1.5,False,True,UTC\-04:00,2005,2006,2005-07-19 10:56:50+00:00,2006-05-09 12:18:10-04:00,1.0,189.0,15,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 5.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-04:00,2007,2007,2007-05-11 15:57:37+00:00,2007-05-25 10:34:46-04:00,20.0,121.0,11,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-04:00,2007,2007,2007-06-20 16:07:03-04:00,2007-06-22 08:03:37-04:00,5.0,39.0,11,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-04:00,2007,2007,2007-06-20 16:09:43-04:00,2007-06-22 08:13:21-04:00,8.0,42.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:26:30+00:00,2002-04-29 12:52:50-04:00,5.0,22.0,14,Benign
False,True,Unknown,Acrobat 4.0 Scan Plug-in,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-02-25 14:21:51-05:00,2002-04-29 11:59:44-04:00,2.0,169.0,7,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-04:00,2007,2007,2007-08-16 10:01:32-04:00,2007-08-17 08:21:27-04:00,8.0,43.0,11,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-04:00,2007,2007,2007-09-18 11:22:47-04:00,2007-09-21 08:32:19-04:00,30.0,152.0,11,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-04:00,2007,2007,2007-09-19 09:21:14-04:00,2007-09-21 08:34:50-04:00,8.0,44.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:27:41+00:00,2002-04-29 12:52:51-04:00,4.0,19.0,16,Benign
True,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,False,False,False,False,False,False,True,1.4,False,False,UTC\-03:00,2007,2007,2007-10-25 16:19:20-04:00,2007-10-25 16:20:27-03:00,6.0,31.0,11,Benign
True,False,Unknown,Acrobat Distiller 5.0.5,False,False,True,False,False,False,True,1.4,False,False,UTC\-04:00,2007,2007,2007-10-24 20:25:00+00:00,2007-10-24 16:25:02-04:00,17.0,108.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:28:30+00:00,2002-04-29 12:52:51-04:00,4.0,21.0,17,Benign
True,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,False,False,False,False,False,False,True,1.4,False,True,UTC\-05:00,2007,2007,2007-12-13 11:46:33-05:00,2007-12-13 11:46:56-05:00,5.0,27.0,11,Benign
False,False,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5,True,False,True,False,True,True,False,1.4,False,True,UTC\-05:00,2007,2007,2007-12-21 11:14:14-05:00,2007-12-28 08:10:31-05:00,71.0,240.0,11,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:29:31+00:00,2002-04-29 12:52:51-04:00,3.0,22.0,16,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:30:27+00:00,2002-04-29 12:52:51-04:00,8.0,25.0,21,Benign
False,True,Unknown,Acrobat PDFWriter 4.0,False,False,True,True,True,True,True,1.4,False,False,UTC\-04:00,2000,2002,2000-04-01 16:39:45+00:00,2002-04-29 12:52:51-04:00,5.0,16.0,18,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-03-29 14:08:49-04:00,2010-03-29 14:08:49-04:00,1.0,18.0,13,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-03-29 14:12:23-04:00,2010-03-29 14:12:23-04:00,1.0,16.0,13,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 8.2.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-04:00,2010,2010,2010-03-29 14:13:51-04:00,2010-03-29 14:13:51-04:00,1.0,14.0,13,Benign
False,False,Adobe InDesign CS4,Adobe PDF Library 9.0,False,True,False,False,False,False,True,1.4,False,True,UTC\-04:00,2011,2011,2011-08-01 14:57:15-04:00,2011-08-01 15:04:05-04:00,1.0,256.0,21,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 9.4.0,False,False,True,False,False,False,True,1.6,False,True,UTC\-05:00,2010,2010,2010-12-08 12:22:42-05:00,2010-12-08 12:23:36-05:00,16.0,147.0,19,Benign
False,True,PScript5.dll Version 5.2.2,Acrobat Distiller 9.4.0,False,False,True,False,False,False,True,1.5,False,True,UTC\-05:00,2010,2010,2010-11-10 15:43:35-05:00,2010-11-10 15:43:35-05:00,1.0,38.0,12,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-05:00,2008,2008,2008-01-17 12:18:17-05:00,2008-01-29 16:10:17-05:00,7.0,156.0,15,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,False,1.4,False,True,UTC\-05:00,2008,2008,2008-02-01 13:20:57-05:00,2008-02-01 13:25:15-05:00,15.0,326.0,17,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-05:00,2008,2008,2008-01-25 12:32:56-05:00,2008-01-29 16:10:44-05:00,13.0,277.0,17,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-05:00,2008,2008,2008-01-17 11:48:16-05:00,2008-01-29 16:11:55-05:00,11.0,379.0,13,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-05:00,2008,2008,2008-01-17 12:30:57-05:00,2008-01-29 16:12:47-05:00,6.0,152.0,20,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0,False,False,True,False,False,False,True,1.4,False,True,UTC\-05:00,2008,2008,2008-01-23 10:58:28-05:00,2008-01-29 16:13:12-05:00,8.0,161.0,15,Benign
False,True,PScript5.dll Version 5.2,Acrobat Distiller 7.0.5,False,True,True,False,False,False,True,1.6,False,True,UTC\-05:00,2006,2007,2006-02-02 15:39:22-06:00,2007-01-30 14:55:28-05:00,8.0,46.0,13,Benign
